Date;Close;;;;;;
15/01/2019;354.64;;;;;;
14/01/2019;332.94;;;;;;
11/01/2019;337.59;;;;;;
10/01/2019;324.66;;;;;;
09/01/2019;319.96;;;;;;
08/01/2019;320.27;;;;;;
07/01/2019;315.34;;;;;;
04/01/2019;297.57;;;;;;
03/01/2019;271.20;;;;;;
02/01/2019;267.66;;;;;;
31/12/2018;267.66;;;;;;
28/12/2018;256.08;;;;;;
27/12/2018;255.56;;;;;;
26/12/2018;253.67;;;;;;
24/12/2018;233.88;;;;;;
21/12/2018;246.39;;;;;;
20/12/2018;260.58;;;;;;
19/12/2018;266.77;;;;;;
18/12/2018;270.94;;;;;;
17/12/2018;262.80;;;;;;
14/12/2018;266.84;;;;;;
13/12/2018;276.02;;;;;;
12/12/2018;274.88;;;;;;
11/12/2018;265.32;;;;;;
10/12/2018;269.70;;;;;;
07/12/2018;265.14;;;;;;
06/12/2018;282.88;;;;;;
04/12/2018;275.33;;;;;;
03/12/2018;290.30;;;;;;
30/11/2018;286.13;;;;;;
29/11/2018;288.75;;;;;;
28/11/2018;282.65;;;;;;
27/11/2018;266.63;;;;;;
26/11/2018;261.43;;;;;;
23/11/2018;258.82;;;;;;
21/11/2018;262.13;;;;;;
20/11/2018;266.98;;;;;;
19/11/2018;270.60;;;;;;
16/11/2018;286.21;;;;;;
15/11/2018;290.06;;;;;;
14/11/2018;286.73;;;;;;
13/11/2018;294.40;;;;;;
12/11/2018;294.07;;;;;;
09/11/2018;303.47;;;;;;
08/11/2018;317.92;;;;;;
07/11/2018;327.50;;;;;;
06/11/2018;310.84;;;;;;
05/11/2018;315.44;;;;;;
02/11/2018;309.10;;;;;;
01/11/2018;317.38;;;;;;
31/10/2018;301.78;;;;;;
30/10/2018;285.81;;;;;;
29/10/2018;284.84;;;;;;
26/10/2018;299.83;;;;;;
25/10/2018;312.87;;;;;;
24/10/2018;301.83;;;;;;
23/10/2018;333.16;;;;;;
22/10/2018;329.54;;;;;;
19/10/2018;332.67;;;;;;
18/10/2018;346.71;;;;;;
17/10/2018;364.70;;;;;;
16/10/2018;346.40;;;;;;
15/10/2018;333.13;;;;;;
12/10/2018;339.56;;;;;;
11/10/2018;321.10;;;;;;
10/10/2018;325.89;;;;;;
09/10/2018;355.71;;;;;;
08/10/2018;349.10;;;;;;
05/10/2018;351.35;;;;;;
04/10/2018;363.65;;;;;;
03/10/2018;377.05;;;;;;
02/10/2018;377.14;;;;;;
01/10/2018;381.43;;;;;;
28/09/2018;374.13;;;;;;
27/09/2018;380.71;;;;;;
26/09/2018;377.88;;;;;;
25/09/2018;369.43;;;;;;
24/09/2018;369.61;;;;;;
21/09/2018;361.19;;;;;;
20/09/2018;365.36;;;;;;
19/09/2018;366.96;;;;;;
18/09/2018;367.65;;;;;;
17/09/2018;350.35;;;;;;
14/09/2018;364.56;;;;;;
13/09/2018;368.15;;;;;;
12/09/2018;369.95;;;;;;
11/09/2018;355.93;;;;;;
10/09/2018;348.41;;;;;;
07/09/2018;348.68;;;;;;
06/09/2018;346.46;;;;;;
05/09/2018;341.18;;;;;;
04/09/2018;363.60;;;;;;
31/08/2018;367.68;;;;;;
30/08/2018;370.98;;;;;;
29/08/2018;368.04;;;;;;
28/08/2018;368.49;;;;;;
27/08/2018;364.58;;;;;;
24/08/2018;358.82;;;;;;
23/08/2018;339.17;;;;;;
22/08/2018;344.44;;;;;;
21/08/2018;338.02;;;;;;
20/08/2018;327.73;;;;;;
17/08/2018;316.78;;;;;;
16/08/2018;322.44;;;;;;
15/08/2018;326.40;;;;;;
14/08/2018;337.49;;;;;;
13/08/2018;341.31;;;;;;
10/08/2018;345.87;;;;;;
09/08/2018;349.36;;;;;;
08/08/2018;347.61;;;;;;
07/08/2018;351.83;;;;;;
06/08/2018;350.92;;;;;;
03/08/2018;343.09;;;;;;
02/08/2018;344.50;;;;;;
01/08/2018;338.38;;;;;;
31/07/2018;337.45;;;;;;
30/07/2018;334.96;;;;;;
27/07/2018;355.21;;;;;;
26/07/2018;363.09;;;;;;
25/07/2018;362.87;;;;;;
24/07/2018;357.32;;;;;;
23/07/2018;362.66;;;;;;
20/07/2018;361.05;;;;;;
19/07/2018;364.23;;;;;;
18/07/2018;375.13;;;;;;
17/07/2018;379.48;;;;;;
16/07/2018;400.48;;;;;;
13/07/2018;395.80;;;;;;
12/07/2018;413.50;;;;;;
11/07/2018;418.65;;;;;;
10/07/2018;415.63;;;;;;
09/07/2018;418.97;;;;;;
06/07/2018;408.25;;;;;;
05/07/2018;398.39;;;;;;
03/07/2018;390.52;;;;;;
02/07/2018;398.18;;;;;;
29/06/2018;391.43;;;;;;
28/06/2018;395.42;;;;;;
27/06/2018;390.39;;;;;;
26/06/2018;399.39;;;;;;
25/06/2018;384.48;;;;;;
22/06/2018;411.09;;;;;;
21/06/2018;415.44;;;;;;
20/06/2018;416.76;;;;;;
19/06/2018;404.98;;;;;;
18/06/2018;390.40;;;;;;
15/06/2018;391.98;;;;;;
14/06/2018;392.87;;;;;;
13/06/2018;379.93;;;;;;
12/06/2018;363.83;;;;;;
11/06/2018;361.45;;;;;;
08/06/2018;360.57;;;;;;
07/06/2018;361.40;;;;;;
06/06/2018;367.45;;;;;;
05/06/2018;365.80;;;;;;
04/06/2018;361.81;;;;;;
01/06/2018;359.93;;;;;;
31/05/2018;351.60;;;;;;
30/05/2018;353.54;;;;;;
29/05/2018;349.73;;;;;;
25/05/2018;351.29;;;;;;
24/05/2018;349.29;;;;;;
23/05/2018;344.72;;;;;;
22/05/2018;331.62;;;;;;
21/05/2018;331.82;;;;;;
18/05/2018;324.18;;;;;;
17/05/2018;325.22;;;;;;
16/05/2018;328.19;;;;;;
15/05/2018;326.13;;;;;;
14/05/2018;328.53;;;;;;
11/05/2018;326.46;;;;;;
10/05/2018;329.60;;;;;;
09/05/2018;330.30;;;;;;
08/05/2018;326.89;;;;;;
07/05/2018;326.26;;;;;;
04/05/2018;320.09;;;;;;
03/05/2018;311.69;;;;;;
02/05/2018;313.36;;;;;;
01/05/2018;313.30;;;;;;
30/04/2018;312.46;;;;;;
27/04/2018;311.76;;;;;;
26/04/2018;313.98;;;;;;
25/04/2018;305.76;;;;;;
24/04/2018;307.02;;;;;;
23/04/2018;318.69;;;;;;
20/04/2018;327.77;;;;;;
19/04/2018;332.70;;;;;;
18/04/2018;334.52;;;;;;
17/04/2018;336.06;;;;;;
16/04/2018;307.78;;;;;;
13/04/2018;311.65;;;;;;
12/04/2018;309.25;;;;;;
11/04/2018;303.67;;;;;;
10/04/2018;298.07;;;;;;
09/04/2018;289.93;;;;;;
06/04/2018;288.85;;;;;;
05/04/2018;293.97;;;;;;
04/04/2018;288.94;;;;;;
03/04/2018;283.67;;;;;;
02/04/2018;280.29;;;;;;
29/03/2018;295.35;;;;;;
28/03/2018;285.77;;;;;;
27/03/2018;300.69;;;;;;
26/03/2018;320.35;;;;;;
23/03/2018;300.94;;;;;;
22/03/2018;306.70;;;;;;
21/03/2018;316.48;;;;;;
20/03/2018;317.50;;;;;;
19/03/2018;313.48;;;;;;
16/03/2018;318.45;;;;;;
15/03/2018;321.09;;;;;;
14/03/2018;321.55;;;;;;
13/03/2018;315.88;;;;;;
12/03/2018;321.30;;;;;;
09/03/2018;331.44;;;;;;
08/03/2018;317.00;;;;;;
07/03/2018;321.16;;;;;;
06/03/2018;325.22;;;;;;
05/03/2018;315.00;;;;;;
02/03/2018;301.05;;;;;;
01/03/2018;290.39;;;;;;
28/02/2018;291.38;;;;;;
27/02/2018;290.61;;;;;;
